Date,Close,Open,High,Low,Volume,변동 %
2018-10-04,13550 ,13300 ,13750 ,13150 ,165.44K,1.50%
2018-10-05,13100 ,13650 ,13700 ,12950 ,156.61K,-3.32%
2018-10-07,13100 ,13100 ,13100 ,13100 ,-,0.00%
2018-10-08,13100 ,13050 ,13550 ,13000 ,98.93K,0.00%
2018-10-09,13100 ,13100 ,13100 ,13100 ,-,0.00%
2018-10-10,12950 ,13350 ,13500 ,12800 ,144.04K,-1.15%
2018-10-11,12600 ,12550 ,13200 ,12200 ,334.97K,-2.70%
2018-10-12,13100 ,12700 ,13150 ,12600 ,182.68K,3.97%
2018-10-15,12550 ,13300 ,13300 ,12350 ,148.32K,-4.20%
2018-10-16,13050 ,12500 ,13250 ,12500 ,110.35K,3.98%
2018-10-17,13250 ,13150 ,13300 ,12850 ,90.73K,1.53%
2018-10-18,12900 ,13300 ,13300 ,12800 ,77.68K,-2.64%
2018-10-19,13300 ,12700 ,13400 ,12600 ,116.52K,3.10%
2018-10-22,13500 ,13200 ,13700 ,13050 ,99.49K,1.50%
2018-10-23,13300 ,13400 ,13500 ,12900 ,100.36K,-1.48%
2018-10-24,12900 ,13350 ,13450 ,12900 ,152.06K,-3.01%
2018-10-25,13250 ,12650 ,13300 ,12500 ,197.18K,2.71%
2018-10-26,12750 ,13250 ,13400 ,12450 ,193.13K,-3.77%
2018-10-29,12650 ,12900 ,13250 ,12350 ,236.10K,-0.78%
2018-10-30,12700 ,12850 ,12850 ,12200 ,227.60K,0.40%
2018-10-31,12400 ,12850 ,12850 ,12300 ,177.63K,-2.36%
2018-11-01,12350 ,12400 ,12500 ,12100 ,245.91K,-0.40%
2018-11-02,12800 ,12600 ,12900 ,12400 ,491.82K,3.64%
2018-11-05,12400 ,12600 ,12700 ,12350 ,214.60K,-3.13%
2018-11-06,12450 ,12500 ,12600 ,12250 ,151.94K,0.40%
2018-11-07,12500 ,12450 ,12850 ,12350 ,220.99K,0.40%
2018-11-08,12550 ,12700 ,12700 ,12400 ,162.37K,0.40%
2018-11-09,12300 ,12500 ,12600 ,12150 ,153.90K,-1.99%
2018-11-12,11450 ,12250 ,12450 ,11350 ,289.96K,-6.91%
2018-11-13,11750 ,11500 ,12100 ,11300 ,269.27K,2.62%
2018-11-14,11950 ,11800 ,12100 ,11550 ,154.40K,1.70%
2018-11-15,11850 ,11800 ,11900 ,11550 ,115.50K,-0.84%
2018-11-16,12050 ,11900 ,12150 ,11700 ,147.10K,1.69%
2018-11-19,12150 ,12000 ,12150 ,11800 ,132.09K,0.83%
2018-11-20,11950 ,12000 ,12150 ,11850 ,127.01K,-1.65%
2018-11-21,12050 ,11900 ,12100 ,11600 ,111.75K,0.84%
2018-11-22,12200 ,12050 ,12200 ,11850 ,104.16K,1.24%
2018-11-23,12300 ,12200 ,12800 ,12050 ,221.89K,0.82%
2018-11-26,12400 ,12300 ,12600 ,12150 ,105.94K,0.81%
2018-11-27,12450 ,12400 ,12550 ,12250 ,85.73K,0.40%
2018-11-28,12450 ,12500 ,12550 ,12300 ,79.71K,0.00%
2018-11-29,12400 ,12650 ,12700 ,12250 ,99.76K,-0.40%
2018-11-30,12400 ,12450 ,12500 ,12000 ,154.22K,0.00%
2018-12-03,12800 ,12600 ,12950 ,12500 ,138.45K,3.23%
2018-12-04,12650 ,12950 ,12950 ,12500 ,111.71K,-1.17%
2018-12-05,12400 ,12350 ,12700 ,12250 ,70.96K,-1.98%
2018-12-06,12200 ,12400 ,12450 ,12100 ,112.97K,-1.61%
2018-12-07,12300 ,12150 ,12400 ,12100 ,78.85K,0.82%
2018-12-10,11450 ,12000 ,12100 ,11350 ,203.45K,-6.91%
2018-12-11,11550 ,11650 ,11750 ,11350 ,86.78K,0.87%
2018-12-12,11850 ,11500 ,11950 ,11500 ,81.54K,2.60%
2018-12-13,12400 ,11850 ,12400 ,11650 ,158.09K,4.64%
2018-12-14,11850 ,12400 ,12400 ,11800 ,160.36K,-4.44%
2018-12-17,11850 ,11850 ,11950 ,11500 ,113.02K,0.00%
2018-12-18,11700 ,11500 ,11900 ,11500 ,117.41K,-1.27%
2018-12-19,12200 ,11800 ,12400 ,11800 ,287.16K,4.27%
2018-12-20,11850 ,12200 ,12300 ,11800 ,142.46K,-2.87%
2018-12-21,11700 ,11750 ,12050 ,11550 ,104.26K,-1.27%
2018-12-24,11550 ,11700 ,11750 ,11450 ,118.76K,-1.28%
2018-12-26,11550 ,11450 ,11750 ,11400 ,175.95K,0.00%
2018-12-27,11800 ,11850 ,11950 ,11650 ,144.37K,2.16%
2018-12-28,12000 ,11900 ,12100 ,11700 ,143.43K,1.69%
2019-01-02,11600 ,12250 ,12250 ,11600 ,136.74K,-3.33%
2019-01-03,11450 ,11600 ,11800 ,11400 ,122.67K,-1.29%
2019-01-04,11450 ,11200 ,11450 ,10950 ,176.36K,0.00%
2019-01-07,11450 ,11650 ,11650 ,11300 ,121.23K,0.00%
2019-01-08,11100 ,11550 ,11550 ,11000 ,159.36K,-3.06%
2019-01-09,11450 ,11150 ,11550 ,11050 ,181.56K,3.15%
2019-01-10,11450 ,11400 ,11500 ,11150 ,109.69K,0.00%
